brand,shoe_name,date,sales,ad_cost,impressions,clicks
Adidas,Ultraboost 23,2024-10-09,163,7222,7259,394
Puma,RS-X,2024-10-09,141,6064,22826,1505
New Balance,2002R,2024-10-09,175,5341,12950,751
Reebok,Instapump Fury,2024-10-09,106,6237,34704,2486
Nike,Cortez,2024-10-09,24,8263,8190,499
Adidas,NMD S1,2024-10-09,190,10194,28295,1597
Puma,Suede Classic,2024-10-09,234,9425,22940,1360
New Balance,990v6,2024-10-09,181,9493,29826,1744
Reebok,Nano X3,2024-10-09,83,5447,18325,1017
Nike,Vaporfly 3,2024-10-09,125,8218,5281,234
Adidas,Samba,2024-10-10,242,6773,26313,1431
Puma,Mayze,2024-10-10,44,3511,10285,804
New Balance,574 Core,2024-10-10,86,8620,34560,1361
Reebok,Club C 85,2024-10-10,237,7891,34447,1536
Nike,Pegasus 40,2024-10-10,108,8789,7888,199
Adidas,Gazelle,2024-10-10,83,2720,32235,817
Puma,Slipstream,2024-10-10,187,7311,23114,1025
New Balance,550,2024-10-10,211,7072,19718,665
Reebok,Classic Leather,2024-10-10,242,11704,30942,748
Nike,Air Force 1,2024-10-10,31,2785,5630,120
Adidas,Superstar,2024-10-10,167,9907,19802,656
Puma,Rider Vintage,2024-10-10,99,5868,17656,359
New Balance,327,2024-10-10,76,8359,7022,417
Reebok,Question Mid,2024-10-10,193,7175,30069,2048
Nike,Air Max 270,2024-10-10,86,7812,17801,1166
Adidas,Stan Smith,2024-10-11,68,8912,31725,777
Puma,Cali Dream,2024-10-11,236,10493,18453,1050
New Balance,9060,2024-10-11,129,11763,23113,470
Reebok,Zig Kinetica,2024-10-11,242,4970,7857,395
Nike,Jordan 1,2024-10-11,52,9242,26833,1896
Adidas,Ultraboost 23,2024-10-11,124,10497,9292,362
Puma,RS-X,2024-10-11,46,11705,27140,1108
New Balance,2002R,2024-10-11,153,2739,12500,687
Reebok,Instapump Fury,2024-10-11,162,3889,20388,666
Nike,Cortez,2024-10-11,22,4338,32861,1113
Adidas,NMD S1,2024-10-11,229,10856,7266,529
Puma,Suede Classic,2024-10-11,215,10477,30460,2352
New Balance,990v6,2024-10-11,103,2269,15536,724
Reebok,Nano X3,2024-10-11,51,7561,8066,272
Nike,Vaporfly 3,2024-10-11,31,6717,9526,192
Adidas,Samba,2024-10-12,167,7352,13969,324
Puma,Mayze,2024-10-12,175,5762,26157,1228
New Balance,574 Core,2024-10-12,133,2873,7652,575
Reebok,Club C 85,2024-10-12,193,10828,21883,1257
Nike,Pegasus 40,2024-10-12,186,9604,26964,690
Adidas,Gazelle,2024-10-12,154,6655,17291,1087
Puma,Slipstream,2024-10-12,119,11452,15390,1125
New Balance,550,2024-10-12,23,7125,9634,582
Reebok,Classic Leather,2024-10-12,86,10470,15667,617
Nike,Air Force 1,2024-10-12,93,7729,28309,865
Adidas,Superstar,2024-10-12,132,6387,18869,1320
Puma,Rider Vintage,2024-10-12,34,11797,25996,1423
New Balance,327,2024-10-12,226,2049,23860,859
Reebok,Question Mid,2024-10-12,67,1563,24713,661
Nike,Air Max 270,2024-10-12,76,7366,29896,617
Adidas,Stan Smith,2024-10-13,246,6342,15775,907
Puma,Cali Dream,2024-10-13,125,7410,11274,285
New Balance,9060,2024-10-13,142,2581,9985,486
Reebok,Zig Kinetica,2024-10-13,250,11929,9770,781
Nike,Jordan 1,2024-10-13,117,10407,12262,530
Adidas,Ultraboost 23,2024-10-13,71,8227,26531,2077
Puma,RS-X,2024-10-13,207,9033,28414,1106
New Balance,2002R,2024-10-13,32,5756,6314,207
Reebok,Instapump Fury,2024-10-13,180,9921,22845,719
Nike,Cortez,2024-10-13,172,4941,14500,685
Adidas,NMD S1,2024-10-13,245,9546,12958,1017
Puma,Suede Classic,2024-10-13,51,11657,18515,1230
New Balance,990v6,2024-10-13,145,6488,32010,1427
Reebok,Nano X3,2024-10-13,120,2330,12120,256
Nike,Vaporfly 3,2024-10-13,188,5133,9687,643
Adidas,Samba,2024-10-14,201,4664,6173,431
Puma,Mayze,2024-10-14,64,2816,9096,271
New Balance,574 Core,2024-10-14,249,1779,22508,453
Reebok,Club C 85,2024-10-14,214,3481,8419,609
Nike,Pegasus 40,2024-10-14,119,6672,23042,1300
Adidas,Gazelle,2024-10-14,187,4039,9263,630
Puma,Slipstream,2024-10-14,110,3872,12613,752
New Balance,550,2024-10-14,89,7193,17880,565
Reebok,Classic Leather,2024-10-14,56,6321,18351,1442
Nike,Air Force 1,2024-10-14,20,11343,10496,268
Adidas,Superstar,2024-10-14,48,10878,11926,686
Puma,Rider Vintage,2024-10-14,67,4167,5224,308
New Balance,327,2024-10-14,214,3430,15366,889
Reebok,Question Mid,2024-10-14,62,12099,29610,1850
Nike,Air Max 270,2024-10-14,103,8512,9490,243
Adidas,Stan Smith,2024-10-15,115,6061,24487,1715
Puma,Cali Dream,2024-10-15,86,3599,29291,1926
New Balance,9060,2024-10-15,189,3481,28892,1825
Reebok,Zig Kinetica,2024-10-15,112,1984,22479,1113
Nike,Jordan 1,2024-10-15,81,8031,31831,1438
Adidas,Ultraboost 23,2024-10-15,29,5201,11838,255
Puma,RS-X,2024-10-15,159,6780,27776,1367
New Balance,2002R,2024-10-15,125,11586,25960,1297
Reebok,Instapump Fury,2024-10-15,38,3824,16683,358
Nike,Cortez,2024-10-15,124,10042,13477,544
Adidas,NMD S1,2024-10-15,232,2230,18321,933
Puma,Suede Classic,2024-10-15,67,2948,9322,632
New Balance,990v6,2024-10-15,147,3968,13300,543
Reebok,Nano X3,2024-10-15,141,4618,15046,1033
Nike,Vaporfly 3,2024-10-15,40,3544,25857,710
Adidas,Samba,2024-10-16,51,7891,29926,1656
Puma,Mayze,2024-10-16,26,3622,21567,681
New Balance,574 Core,2024-10-16,166,7007,19482,537
Reebok,Club C 85,2024-10-16,210,3791,30775,2300
Nike,Pegasus 40,2024-10-16,69,10013,6717,311
Adidas,Gazelle,2024-10-16,97,10478,26640,1982
Puma,Slipstream,2024-10-16,98,3968,31990,2127
New Balance,550,2024-10-16,89,6319,28902,709
Reebok,Classic Leather,2024-10-16,161,5861,27939,2055
Nike,Air Force 1,2024-10-16,130,11993,21644,1457
Adidas,Superstar,2024-10-16,98,6174,5282,129
Puma,Rider Vintage,2024-10-16,135,11109,8487,334
New Balance,327,2024-10-16,160,8174,6205,334
Reebok,Question Mid,2024-10-16,191,6047,30597,1821
Nike,Air Max 270,2024-10-16,21,11263,33681,2474
Adidas,Stan Smith,2024-10-17,152,2633,32418,2488
Puma,Cali Dream,2024-10-17,68,5411,15397,731
New Balance,9060,2024-10-17,195,8702,9234,289
Reebok,Zig Kinetica,2024-10-17,137,7674,22522,1205
Nike,Jordan 1,2024-10-17,43,1646,6007,196
Adidas,Ultraboost 23,2024-10-17,213,7401,15807,1255
Puma,RS-X,2024-10-17,110,3921,22546,1089
New Balance,2002R,2024-10-17,59,2911,24427,998
Reebok,Instapump Fury,2024-10-17,88,10969,14722,940
Nike,Cortez,2024-10-17,74,2225,12382,799
Adidas,NMD S1,2024-10-17,57,3095,18494,1050
Puma,Suede Classic,2024-10-17,134,2012,12123,537
New Balance,990v6,2024-10-17,187,2176,6897,342
Reebok,Nano X3,2024-10-17,161,10353,9646,505
Nike,Vaporfly 3,2024-10-17,86,2856,32022,2310
Adidas,Samba,2024-10-18,72,1848,30737,691
Puma,Mayze,2024-10-18,152,8460,29835,684
New Balance,574 Core,2024-10-18,221,8730,11898,323
Reebok,Club C 85,2024-10-18,248,9560,26814,1563
Nike,Pegasus 40,2024-10-18,41,6565,34927,1196
Adidas,Gazelle,2024-10-18,247,3100,19935,1452
Puma,Slipstream,2024-10-18,22,7098,27081,808
New Balance,550,2024-10-18,73,10256,19923,877
Reebok,Classic Leather,2024-10-18,64,11987,11885,585
Nike,Air Force 1,2024-10-18,98,11626,16774,850
Adidas,Superstar,2024-10-18,116,8530,17901,913
Puma,Rider Vintage,2024-10-18,165,8510,19443,457
New Balance,327,2024-10-18,108,5096,23830,874
Reebok,Question Mid,2024-10-18,96,9143,8146,534
Nike,Air Max 270,2024-10-18,171,4838,32672,1247
Adidas,Stan Smith,2024-10-19,220,2749,21663,826
Puma,Cali Dream,2024-10-19,171,1812,5372,179
New Balance,9060,2024-10-19,40,3947,28035,1502
Reebok,Zig Kinetica,2024-10-19,242,3050,6499,429
Nike,Jordan 1,2024-10-19,61,7358,18155,1084
Adidas,Ultraboost 23,2024-10-19,174,6077,24620,739
Puma,RS-X,2024-10-19,182,3277,27474,1297
New Balance,2002R,2024-10-19,155,6062,29212,1543
Reebok,Instapump Fury,2024-10-19,199,6415,12909,849
Nike,Cortez,2024-10-19,72,2968,26430,1421
Adidas,NMD S1,2024-10-19,148,7492,18152,845
Puma,Suede Classic,2024-10-19,145,11109,29251,715
New Balance,990v6,2024-10-19,239,8759,23741,1405
Reebok,Nano X3,2024-10-19,28,5973,28380,1996
Nike,Vaporfly 3,2024-10-19,159,8709,15965,406
Adidas,Samba,2024-10-20,29,4716,16074,1047
Puma,Mayze,2024-10-20,153,4420,30092,1680
New Balance,574 Core,2024-10-20,22,9527,6109,229
Reebok,Club C 85,2024-10-20,62,6389,10818,750
Nike,Pegasus 40,2024-10-20,72,10403,10504,245
Adidas,Gazelle,2024-10-20,30,8886,16837,411
Puma,Slipstream,2024-10-20,198,5439,8517,221
New Balance,550,2024-10-20,99,6343,12151,816
Reebok,Classic Leather,2024-10-20,115,10614,30292,1436
Nike,Air Force 1,2024-10-20,39,3203,6402,341
Adidas,Superstar,2024-10-20,184,10090,22397,1185
Puma,Rider Vintage,2024-10-20,129,4073,7939,334
New Balance,327,2024-10-20,93,3381,14585,690
Reebok,Question Mid,2024-10-20,202,8862,18415,1257
Nike,Air Max 270,2024-10-20,142,8924,20976,469
Adidas,Stan Smith,2024-10-21,138,6032,22674,819
Puma,Cali Dream,2024-10-21,179,10558,21525,965
New Balance,9060,2024-10-21,52,2130,5570,143
Reebok,Zig Kinetica,2024-10-21,193,11993,22691,1427
Nike,Jordan 1,2024-10-21,33,10048,23380,601
Adidas,Ultraboost 23,2024-10-21,178,4176,14825,798
Puma,RS-X,2024-10-21,41,8158,30635,1878
New Balance,2002R,2024-10-21,144,9859,17497,857
Reebok,Instapump Fury,2024-10-21,120,7436,8985,327
Nike,Cortez,2024-10-21,112,11287,19912,926
Adidas,NMD S1,2024-10-21,45,8288,15419,614
Puma,Suede Classic,2024-10-21,184,11108,8607,470
New Balance,990v6,2024-10-21,46,8582,10181,432
Reebok,Nano X3,2024-10-21,97,9480,17651,386
Nike,Vaporfly 3,2024-10-21,200,2544,29975,1461
Adidas,Samba,2024-10-22,140,2167,12428,310
Puma,Mayze,2024-10-22,118,4379,11552,414
New Balance,574 Core,2024-10-22,227,11767,8579,359
Reebok,Club C 85,2024-10-22,119,3236,6749,538
Nike,Pegasus 40,2024-10-22,83,6934,15631,683
Adidas,Gazelle,2024-10-22,200,2317,25225,1400
Puma,Slipstream,2024-10-22,136,9534,10334,448
New Balance,550,2024-10-22,171,10769,22658,713
Reebok,Classic Leather,2024-10-22,111,5056,17423,1307
Nike,Air Force 1,2024-10-22,81,4849,5907,135
Adidas,Superstar,2024-10-22,20,6610,21284,1680
Puma,Rider Vintage,2024-10-22,116,9170,27785,1754
New Balance,327,2024-10-22,56,9424,15727,1189
Reebok,Question Mid,2024-10-22,129,7341,32769,1436
Nike,Air Max 270,2024-10-22,230,8804,18572,1315
Adidas,Stan Smith,2024-10-23,167,4868,23080,478
Puma,Cali Dream,2024-10-23,55,10748,14907,873
New Balance,9060,2024-10-23,246,8811,24520,968
Reebok,Zig Kinetica,2024-10-23,184,8653,21504,438
Nike,Jordan 1,2024-10-23,152,8138,15736,713
Adidas,Ultraboost 23,2024-10-23,195,9377,13549,393
Puma,RS-X,2024-10-23,204,6828,10664,675
New Balance,2002R,2024-10-23,74,5987,25905,575
Reebok,Instapump Fury,2024-10-23,61,10509,19861,766
Nike,Cortez,2024-10-23,240,1609,9956,408
Adidas,NMD S1,2024-10-23,249,8188,22596,1807
Puma,Suede Classic,2024-10-23,134,2798,16846,621
New Balance,990v6,2024-10-23,161,8238,20517,1618
Reebok,Nano X3,2024-10-23,160,7788,17989,1259
Nike,Vaporfly 3,2024-10-23,37,12085,8856,498
Adidas,Samba,2024-10-24,229,10419,9610,208
Puma,Mayze,2024-10-24,199,5738,7318,456
New Balance,574 Core,2024-10-24,197,9571,34819,1840
Reebok,Club C 85,2024-10-24,223,11845,12384,870
Nike,Pegasus 40,2024-10-24,238,4779,27367,1567
Adidas,Gazelle,2024-10-24,90,4806,31358,1713
Puma,Slipstream,2024-10-24,179,4855,31552,709
New Balance,550,2024-10-24,214,9378,33121,1209
Reebok,Classic Leather,2024-10-24,136,2992,20378,613
Nike,Air Force 1,2024-10-24,38,8206,11326,897
Adidas,Superstar,2024-10-24,170,3431,34334,2183
Puma,Rider Vintage,2024-10-24,167,1582,15272,448
New Balance,327,2024-10-24,66,3659,33826,1098
Reebok,Question Mid,2024-10-24,163,4753,25741,1989
Nike,Air Max 270,2024-10-24,39,6843,29489,1497
Adidas,Stan Smith,2024-10-25,51,4887,22410,1480
Puma,Cali Dream,2024-10-25,181,1790,11450,284
New Balance,9060,2024-10-25,152,7124,18648,1197
Reebok,Zig Kinetica,2024-10-25,33,8363,30772,666
Nike,Jordan 1,2024-10-25,162,9855,13669,356
Adidas,Ultraboost 23,2024-10-25,133,11928,31343,888
Puma,RS-X,2024-10-25,32,4374,8330,638
New Balance,2002R,2024-10-25,191,6232,26485,1564
Reebok,Instapump Fury,2024-10-25,174,3815,9477,547
Nike,Cortez,2024-10-25,22,4255,24595,1730
Adidas,NMD S1,2024-10-25,26,7500,17782,540
Puma,Suede Classic,2024-10-25,49,7234,5784,215
New Balance,990v6,2024-10-25,158,5196,7880,545
Reebok,Nano X3,2024-10-25,36,8937,31951,641
Nike,Vaporfly 3,2024-10-25,36,3954,17526,352
Adidas,Samba,2024-10-26,204,7131,32080,1525
Puma,Mayze,2024-10-26,188,6126,14150,385
New Balance,574 Core,2024-10-26,20,8693,26938,1645
Reebok,Club C 85,2024-10-26,81,4485,24488,797
Nike,Pegasus 40,2024-10-26,245,5834,14889,943
Adidas,Gazelle,2024-10-26,98,11332,21156,943
Puma,Slipstream,2024-10-26,228,6733,31737,675
New Balance,550,2024-10-26,49,5135,14256,487
Reebok,Classic Leather,2024-10-26,204,7261,28909,1109
Nike,Air Force 1,2024-10-26,231,11505,24682,1295
Adidas,Superstar,2024-10-26,171,6511,32121,1376
Puma,Rider Vintage,2024-10-26,146,5430,13196,726
New Balance,327,2024-10-26,121,7654,11182,680
Reebok,Question Mid,2024-10-26,107,11709,19713,1011
Nike,Air Max 270,2024-10-26,100,3084,9681,275
Adidas,Stan Smith,2024-10-27,37,11404,23327,947
Puma,Cali Dream,2024-10-27,37,9859,13704,536
New Balance,9060,2024-10-27,185,5309,7604,544
Reebok,Zig Kinetica,2024-10-27,164,3290,31039,1981
Nike,Jordan 1,2024-10-27,181,2572,7800,474
Adidas,Ultraboost 23,2024-10-27,145,9561,10900,517
Puma,RS-X,2024-10-27,128,9153,32920,1944
New Balance,2002R,2024-10-27,112,4254,18581,956
Reebok,Instapump Fury,2024-10-27,216,4916,29979,1996
Nike,Cortez,2024-10-27,151,7691,16647,426
Adidas,NMD S1,2024-10-27,119,9885,32049,2218
Puma,Suede Classic,2024-10-27,102,5655,22409,1281
New Balance,990v6,2024-10-27,37,2313,30954,1388
Reebok,Nano X3,2024-10-27,167,11508,27962,1058
Nike,Vaporfly 3,2024-10-27,29,7097,8948,407
Adidas,Samba,2024-10-28,124,6651,24405,1000
Puma,Mayze,2024-10-28,178,4440,31548,725
New Balance,574 Core,2024-10-28,218,4265,21453,527
Reebok,Club C 85,2024-10-28,28,9522,17843,807
Nike,Pegasus 40,2024-10-28,176,7315,13134,981
Adidas,Gazelle,2024-10-28,247,9267,17447,761
Puma,Slipstream,2024-10-28,161,1979,34510,1646
New Balance,550,2024-10-28,78,6504,21925,484
Reebok,Classic Leather,2024-10-28,236,9840,28626,1510
Nike,Air Force 1,2024-10-28,26,2051,8552,279
Adidas,Superstar,2024-10-28,149,9053,13826,790
Puma,Rider Vintage,2024-10-28,56,3490,17029,1130
New Balance,327,2024-10-28,24,6578,20172,1011
Reebok,Question Mid,2024-10-28,218,7542,28418,2065
Nike,Air Max 270,2024-10-28,65,3697,32336,1843
Adidas,Stan Smith,2024-10-29,75,6429,19852,1429
Puma,Cali Dream,2024-10-29,55,4296,8913,467
New Balance,9060,2024-10-29,40,11879,16558,463
Reebok,Zig Kinetica,2024-10-29,46,8348,21262,830
Nike,Jordan 1,2024-10-29,163,4137,14373,697
Adidas,Ultraboost 23,2024-10-29,80,11034,20947,1226
Puma,RS-X,2024-10-29,248,10361,25658,1525
New Balance,2002R,2024-10-29,232,7986,30520,781
Reebok,Instapump Fury,2024-10-29,228,10737,31219,968
Nike,Cortez,2024-10-29,133,4657,24661,969
Adidas,NMD S1,2024-10-29,130,3698,20646,1542
Puma,Suede Classic,2024-10-29,159,2654,15343,1187
New Balance,990v6,2024-10-29,25,9589,18536,709
Reebok,Nano X3,2024-10-29,45,5621,9492,283
Nike,Vaporfly 3,2024-10-29,187,8359,11732,624
Adidas,Samba,2024-10-30,110,12040,30161,665
Puma,Mayze,2024-10-30,241,4635,27386,1258
New Balance,574 Core,2024-10-30,126,5121,29477,1277
Reebok,Club C 85,2024-10-30,237,3167,24420,1277
Nike,Pegasus 40,2024-10-30,240,10607,29118,2099
Adidas,Gazelle,2024-10-30,221,9287,18304,1216
Puma,Slipstream,2024-10-30,152,6686,5788,217
New Balance,550,2024-10-30,38,11813,28272,1197
Reebok,Classic Leather,2024-10-30,122,10690,17661,412
Nike,Air Force 1,2024-10-30,157,7532,9477,459
Adidas,Superstar,2024-10-30,97,2127,24189,1235
Puma,Rider Vintage,2024-10-30,102,4228,6953,408
New Balance,327,2024-10-30,186,1929,32556,1670
Reebok,Question Mid,2024-10-30,28,8812,18555,1192
Nike,Air Max 270,2024-10-30,246,8466,22579,1273
Adidas,Stan Smith,2024-10-31,241,9002,11304,846
Puma,Cali Dream,2024-10-31,184,2551,33088,1259
New Balance,9060,2024-10-31,227,2942,9836,583
Reebok,Zig Kinetica,2024-10-31,94,2585,10386,582
Nike,Jordan 1,2024-10-31,183,3651,7161,467
Adidas,Ultraboost 23,2024-10-31,124,5961,33682,2042
Puma,RS-X,2024-10-31,250,2535,18217,1442
New Balance,2002R,2024-10-31,179,6785,27582,813
Reebok,Instapump Fury,2024-10-31,95,6616,16789,1049
Nike,Cortez,2024-10-31,207,2695,34202,1862
Adidas,NMD S1,2024-10-31,240,2438,33861,887
Puma,Suede Classic,2024-10-31,98,7662,23020,1224
New Balance,990v6,2024-10-31,87,5071,5241,191
Reebok,Nano X3,2024-10-31,28,8591,14695,1087
Nike,Vaporfly 3,2024-10-31,86,10595,11316,262
Adidas,Samba,2024-11-01,25,1510,29684,1897
Puma,Mayze,2024-11-01,233,10731,18610,1202
New Balance,574 Core,2024-11-01,98,8851,22763,1247
Reebok,Club C 85,2024-11-01,51,8286,25627,1594
Nike,Pegasus 40,2024-11-01,195,11426,14741,751
Adidas,Gazelle,2024-11-01,25,3358,29800,1048
Puma,Slipstream,2024-11-01,49,9036,13155,723
New Balance,550,2024-11-01,25,5077,32428,1748
Reebok,Classic Leather,2024-11-01,182,5394,29686,1894
Nike,Air Force 1,2024-11-01,84,7432,14850,320
Adidas,Superstar,2024-11-01,58,2559,15337,1205
Puma,Rider Vintage,2024-11-01,50,9151,6337,390
New Balance,327,2024-11-01,248,2920,27609,1693
Reebok,Question Mid,2024-11-01,248,5944,25000,1790
Nike,Air Max 270,2024-11-01,225,4720,23133,1755
Adidas,Stan Smith,2024-11-02,47,10334,21629,1183
Puma,Cali Dream,2024-11-02,45,11234,29600,780
New Balance,9060,2024-11-02,88,3346,5210,124
Reebok,Zig Kinetica,2024-11-02,60,2629,33336,876
Nike,Jordan 1,2024-11-02,224,9021,5848,240
Adidas,Ultraboost 23,2024-11-02,216,4542,12320,458
Puma,RS-X,2024-11-02,130,6737,34299,1284
New Balance,2002R,2024-11-02,173,10650,31368,749
Reebok,Instapump Fury,2024-11-02,43,3000,26637,1793
Nike,Cortez,2024-11-02,227,3210,9217,581
Adidas,NMD S1,2024-11-02,242,6239,10371,827
Puma,Suede Classic,2024-11-02,54,3833,31985,1715
New Balance,990v6,2024-11-02,57,7280,11087,276
Reebok,Nano X3,2024-11-02,96,11794,7286,475
Nike,Vaporfly 3,2024-11-02,155,3964,23346,1645
Adidas,Samba,2024-11-03,175,2829,7003,435
Puma,Mayze,2024-11-03,91,9694,14875,888
